Devices,,,,,,,,,,,,,
1000,,,,,,,,,,,,,
,,Fx1 - Voltage,Fy1 - Voltage,Fz1 - Voltage,Fx2 - Voltage,Fy2 - Voltage,Fz2 - Voltage,Fx3 - Voltage,Fy3 - Voltage,Fz3 - Voltage,Fx4 - Voltage,Fy4 - Voltage,Fz4 - Voltage
Frame,Sub Frame,Fx1,Fy1,Fz1,Fx2,Fy2,Fz2,Fx3,Fy3,Fz3,Fx4,Fy4,Fz4
,,V,V,V,V,V,V,V,V,V,V,V,V
1943,9,0.206633,-2.24544,2.30128,0.322104,-1.7238,1.45628,0.32868,-3.5575,2.39852,-0.276899,-3.44593,2.62984
1944,0,0.169707,-2.27474,2.24605,0.354453,-1.6115,1.43003,0.399481,-3.29291,2.35762,-0.277509,-3.53076,2.54043
1944,1,0.134917,-2.25917,2.16121,0.391074,-1.53612,1.43919,0.43183,-3.0448,2.29171,-0.338849,-3.66565,2.5331
1944,2,0.0287155,-2.29061,2.14137,0.429526,-1.4409,1.39524,0.472723,-2.91236,2.26149,-0.428571,-3.70716,2.50197
1944,3,-0.045137,-2.25704,2.11696,0.493613,-1.43724,1.38517,0.528876,-2.84156,2.25447,-0.505475,-3.70197,2.46871
1944,4,-0.0738235,-2.17159,2.09346,0.549766,-1.51231,1.37266,0.594183,-2.75702,2.23922,-0.517072,-3.74042,2.45559
1944,5,-0.0631424,-2.07363,2.06447,0.602561,-1.57335,1.36747,0.645148,-2.69995,2.23372,-0.514936,-3.74927,2.43423
1944,6,-0.0515457,-2.06569,2.00771,0.595542,-1.58403,1.37876,0.620428,-2.67524,2.18611,-0.530805,-3.76178,2.43758
1944,7,-0.113496,-2.14443,1.98177,0.572043,-1.46867,1.369,0.615851,-2.67371,2.1617,-0.558271,-3.69373,2.42293
1944,8,-0.127534,-2.20455,1.95674,0.549766,-1.34721,1.36015,0.582587,-2.66883,2.15132,-0.571088,-3.66321,2.44643
1944,9,-0.141573,-2.20333,1.93233,0.549766,-1.26054,1.32047,0.602423,-2.68958,2.13637,-0.54881,-3.56708,2.42263
1945,0,-0.0961014,-2.07637,1.89449,0.558311,-1.29076,1.29697,0.606696,-2.77991,2.13729,-0.520124,-3.42792,2.41317
1945,1,-0.0872513,-1.94759,1.87404,0.568076,-1.35454,1.25486,0.616766,-2.93067,2.1382,-0.523481,-3.27289,2.4034
1945,2,-0.128755,-1.86489,1.83742,0.577842,-1.38536,1.22892,0.621954,-3.1269,2.17574,-0.548505,-3.12549,2.38387
1945,3,-0.20627,-1.86397,1.80171,0.60073,-1.36888,1.21091,0.616461,-3.25751,2.20412,-0.631208,-3.10657,2.43331
1945,4,-0.314302,-1.95186,1.79774,0.638267,-1.29442,1.17185,0.657355,-3.26422,2.20015,-0.676679,-3.13129,2.44643
1945,5,-0.317049,-1.98665,1.7596,0.694724,-1.26268,1.16514,0.678107,-3.23188,2.1614,-0.709333,-3.24848,2.47024
1945,6,-0.324373,-1.96346,1.71077,0.775901,-1.23216,1.12272,0.751959,-3.21082,2.14003,-0.695905,-3.31073,2.48031
1945,7,-0.312166,-1.87526,1.67201,0.847922,-1.25658,1.09159,0.781256,-3.28894,2.15987,-0.72154,-3.27594,2.46596
1945,8,-0.365877,-1.76235,1.61311,0.885459,-1.28526,1.05955,0.81452,-3.41254,2.16017,-0.74748,-3.15052,2.45956
1945,9,-0.38968,-1.6595,1.57588,0.909873,-1.29228,1.00309,0.817572,-3.54316,2.24807,-0.790509,-3.01349,2.43575
1946,0,-0.414095,-1.56429,1.53682,0.933066,-1.30174,0.975014,0.854498,-3.56238,2.17086,-0.793256,-2.97534,2.44979
1946,1,-0.419283,-1.50844,1.49898,0.9999,-1.27184,0.942665,0.93537,-3.49433,2.14553,-0.803022,-2.96894,2.40981
1946,2,-0.454073,-1.45473,1.43153,1.07497,-1.24345,0.934731,1.01502,-3.39789,2.09548,-0.828351,-3.01349,2.41225
1946,3,-0.523653,-1.4117,1.35829,1.13723,-1.20927,0.918251,1.07636,-3.37043,2.05092,-0.888166,-2.98908,2.39364
1946,4,-0.617036,-1.39125,1.29604,1.18362,-1.19005,0.877663,1.09406,-3.44001,2.03261,-0.980634,-2.89081,2.39272
1946,5,-0.681429,-1.33663,1.25392,1.19887,-1.21202,0.843788,1.08185,-3.54956,2.03658,-1.05204,-2.73609,2.3561
1946,6,-0.761079,-1.32228,1.25941,1.21963,-1.21812,0.804115,1.08552,-3.61762,1.96181,-1.13841,-2.61615,2.37075
1946,7,-0.853853,-1.29543,1.22401,1.2712,-1.20531,0.773598,1.1377,-3.62067,1.94136,-1.19487,-2.55207,2.35305
1946,8,-0.895662,-1.26247,1.17366,1.30935,-1.18211,0.787636,1.20087,-3.49402,1.87422,-1.2437,-2.52643,2.27798
1946,9,-0.946931,-1.23989,1.1291,1.32156,-1.12566,0.787941,1.25458,-3.30878,1.85469,-1.23942,-2.513,2.2145
1947,0,-0.955476,-1.21151,1.07204,1.29928,-1.0338,0.773903,1.22468,-3.16413,1.75765,-1.25377,-2.4541,2.15591
1947,1,-0.968294,-1.20021,1.04671,1.23733,-0.936753,0.726295,1.18531,-3.05701,1.7018,-1.21989,-2.38575,2.10372
1947,2,-0.914888,-1.16207,1.01253,1.19796,-0.904404,0.702492,1.10291,-2.96576,1.6487,-1.19853,-2.31281,2.03261
1947,3,-0.894136,-1.11629,1.00612,1.15401,-0.909592,0.67411,1.07789,-2.89374,1.68074,-1.13627,-2.27161,1.97616
1947,4,-0.807466,-1.03328,0.949966,1.13723,-0.958726,0.68174,1.02387,-2.78479,1.63192,-1.08409,-2.31525,1.90047
1947,5,-0.790681,-1.01863,0.912125,1.11953,-0.954758,0.678993,1.01349,-2.59864,1.6136,-1.03526,-2.41657,1.87911
1947,6,-0.795564,-1.06288,0.873672,1.09756,-0.900742,0.684181,0.967413,-2.42682,1.52144,-1.02855,-2.52185,1.85561
1947,7,-0.891389,-1.13613,0.851395,1.07162,-0.782639,0.659157,0.940558,-2.33893,1.44881,-1.09752,-2.53345,1.83547
1947,8,-0.998506,-1.14864,0.81752,1.05605,-0.710312,0.632607,0.942694,-2.31269,1.51046,-1.1558,-2.50843,1.83547
1947,9,-1.04398,-1.09035,0.783951,1.08108,-0.687729,0.594765,0.95368,-2.28736,1.43599,-1.22111,-2.42328,1.8196
1948,0,-1.04337,-0.980182,0.746414,1.11648,-0.707261,0.562721,1.00709,-2.28949,1.43599,-1.20097,-2.35309,1.80556
1948,1,-0.99637,-0.875812,0.700027,1.17416,-0.709397,0.541359,1.0431,-2.25226,1.39785,-1.17473,-2.27649,1.74148
1948,2,-0.951509,-0.865741,0.675919,1.17263,-0.648362,0.505959,1.06019,-2.15613,1.38381,-1.10515,-2.2295,1.67098
1948,3,-0.898714,-0.926166,0.638077,1.15279,-0.537278,0.474831,1.02509,-2.04993,1.33895,-1.04533,-2.26337,1.66274
1948,4,-0.844698,-0.994525,0.610001,1.1296,-0.431382,0.430275,1.01105,-1.9361,1.28829,-0.947675,-2.30274,1.62673
1948,5,-0.754976,-0.994525,0.58223,1.13113,-0.438096,0.440956,0.990607,-1.86316,1.27578,-0.873822,-2.33875,1.59713
1948,6,-0.711946,-0.952411,0.563004,1.15127,-0.481431,0.430885,1.02631,-1.80762,1.22664,-0.797223,-2.32959,1.57821
1948,7,-0.686006,-0.860553,0.540421,1.19765,-0.529648,0.409828,1.04737,-1.79602,1.21413,-0.802716,-2.3003,1.53426
1948,8,-0.717744,-0.769916,0.491592,1.21688,-0.544602,0.392433,1.07178,-1.73224,1.165,-0.814313,-2.27191,1.52297
1948,9,-0.742769,-0.739704,0.463211,1.20711,-0.481125,0.337807,1.05134,-1.66541,1.13051,-0.856122,-2.17426,1.45247
1949,0,-0.789156,-0.719562,0.415298,1.17507,-0.390183,0.30912,1.02173,-1.5882,1.07527,-0.867719,-2.04914,1.36703
1949,1,-0.757417,-0.671955,0.381729,1.14699,-0.327012,0.288673,0.977484,-1.50702,1.01454,-0.856427,-2.00153,1.34749
1949,2,-0.758638,-0.674701,0.341141,1.14333,-0.257432,0.251442,0.980536,-1.47559,0.95473,-0.828656,-1.89502,1.26815
1949,3,-0.712862,-0.633502,0.324661,1.14181,-0.296189,0.279823,0.961615,-1.52503,0.952899,-0.800885,-1.72138,1.16286
1949,4,-0.689973,-0.611835,0.306046,1.12075,-0.316941,0.281349,0.971381,-1.59034,0.922382,-0.746259,-1.51172,1.05605
1949,5,-0.613985,-0.554462,0.316116,1.11495,-0.330674,0.255104,0.928351,-1.61994,0.857074,-0.669355,-1.35456,1.17324
1949,6,-0.538301,-0.513874,0.245316,1.07009,-0.302598,0.222755,0.860907,-1.64222,0.78902,-0.593671,-1.14673,1.06246
1949,7,-0.512666,-0.52547,0.199844,1.00387,-0.244309,0.205666,0.784918,-1.68372,0.725848,-0.564374,-0.959964,0.919028
1949,8,-0.561494,-0.566669,0.208084,0.9822,-0.142075,0.157143,0.75379,-1.73621,0.68465,-0.600385,-0.767703,0.996848
1949,9,-0.577364,-0.535236,0.169022,0.997459,-0.126816,0.174843,0.775458,-1.7359,0.664508,-0.613202,-0.636477,0.951987
1950,0,-0.530061,-0.460163,0.119583,1.01546,-0.148484,0.1605,0.803839,-1.67029,0.62453,-0.568952,-0.54523,0.857993
1950,1,-0.462923,-0.328937,0.122025,1.03438,-0.189988,0.131508,0.827338,-1.58057,0.561664,-0.464276,-0.481448,0.708456
1950,2,-0.346651,-0.214191,0.0579376,1.01455,-0.217454,0.113808,0.746466,-1.53235,0.534198,-0.438336,-0.362735,0.545798
1950,3,-0.376863,-0.218769,0.111343,0.953818,-0.188157,0.137306,0.717169,-1.46491,0.466449,-0.407819,-0.284304,0.552512
1950,4,-0.396394,-0.276142,0.0512238,0.93856,-0.122544,0.116554,0.648505,-1.3935,0.444171,-0.448407,-0.310855,0.661765
1950,5,-0.38846,-0.253253,0.0561066,0.902854,-0.111558,0.131203,0.650946,-1.29554,0.414874,-0.422162,-0.410037,0.739279
1950,6,-0.32773,-0.229755,0.0207062,0.898887,-0.174119,0.160194,0.610968,-1.26776,0.42403,-0.393781,-0.33649,0.652914
1950,7,-0.348787,-0.179706,0.0316925,0.865012,-0.225083,0.168739,0.609442,-1.22046,0.344684,-0.354108,-0.253482,0.597067
1950,8,-0.324983,-0.0948672,-0.0238495,0.833274,-0.20311,0.121437,0.537421,-1.22596,0.351093,-0.379743,-0.232119,0.429831
1950,9,-0.384492,-0.112873,-0.0314789,0.77468,-0.116135,0.0939713,0.514838,-1.17041,0.325763,-0.370893,-0.167117,0.389548
1951,0,-0.353975,-0.176349,-0.0250702,0.723105,-0.0932471,0.125404,0.428778,-1.02668,0.287006,-0.364789,-0.151858,0.330649
1951,1,-0.338716,-0.267292,-0.000350952,0.670005,-0.0135962,0.116859,0.393378,-0.901859,0.234515,-0.30528,-0.272097,0.554648
1951,2,-0.212068,-0.244709,-0.0461273,0.684653,0.00196777,0.124794,0.365607,-0.771549,0.26015,-0.256147,-0.482669,0.530844
1951,3,-0.213289,-0.323444,0.00941467,0.681296,0.0120386,0.142494,0.382086,-0.680301,0.219867,-0.217694,-0.573611,0.546103
1951,4,-0.240755,-0.373188,0.058548,0.6697,0.0211938,0.134865,0.332037,-0.76453,0.260455,-0.28819,-0.432925,0.442648
1951,5,-0.304842,-0.281024,-0.0204926,0.62606,0.024856,0.122963,0.31983,-0.831974,0.26076,-0.304975,-0.346255,0.35079
1951,6,-0.263033,-0.169635,-0.0415497,0.620261,0.00471436,0.0881729,0.30213,-0.768192,0.245502,-0.250043,-0.340762,0.386496
1951,7,-0.201997,-0.113788,-0.0650482,0.584556,-0.0166479,0.0903091,0.28382,-0.59943,0.135638,-0.173444,-0.379825,0.496054
1951,8,-0.16263,-0.115314,-0.0839691,0.520774,0.0175317,0.0695572,0.226447,-0.574405,0.125873,-0.120648,-0.39844,0.430441
